"count","entity_id","time_stamp","entity_url_x","experiment_id","entity_category","entity_set","Baseline","Boring_Combined","Boring_Dem","Boring_Diff","Boring_Rep","Familiar_Combined","Familiar_Dem","Familiar_Diff","Familiar_Rep","Importance_Combined","Importance_Dem","Importance_Diff","Importance_Rep","Likelihood_Combined","Likelihood_Dem","Likelihood_Diff","Likelihood_Rep","Partisanship_Combined","Partisanship_Dem","Partisanship_Diff","Partisanship_Rep","PosViewed_Baseline","PosViewed_Combined","PosViewed_Dem","PosViewed_Diff","PosViewed_Rep","Positive_Combined","Positive_Combined.1","Positive_Dem","Positive_Dem.1","Positive_Diff","Positive_Diff.1","Positive_Rep","Positive_Rep.1","Sensational_Combined","Sensational_Dem","Sensational_Diff","Sensational_Rep","Sharing_Combined","Sharing_Dem","Sharing_Diff","Sharing_Rep"
"1","o9n_d9Mt2","1640212917092","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_british%20pilots%20die%20of%20COVID%20vaccine.png","solarflare","news","oct9_news","0.21","2.545","2.74","0.39","2.35","2.265","2.35","0.17","2.18","4.215","4.19","-0.05","4.24","3.575","3.6","0.05","3.55","3.71","3.6","-0.22","3.82","-0.11","3.89","3.98","0.18","3.8","2.11","3.38","2.16","3.58","0.1","0.4","2.06","3.18","2.95","2.98","0.06","2.92","3.01","3.26","0.5","2.76"
"1","o9n_DDWYe","1640212926803","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_teachers%20sue%20over%20Oklahomas%20ban%20on%20CRT.png","solarflare","news","oct9_news","0.415","2.895","2.96","0.13","2.83","2.74","2.91","0.34","2.57","4.195","4.28","0.17","4.11","3.925","4.17","0.49","3.68","3.085","2.68","-0.81","3.49","-0.205","3.795","4.02","0.45","3.57","2.765","2.955","2.83","3.04","0.13","0.17","2.7","2.87","2.83","3.15","0.64","2.51","2.955","3.21","0.51","2.7"
"1","o9n_gd3Rf","1640212927827","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Virginia%20governor%20will%20welcome%20Maryland%20counties.png","solarflare","news","oct9_news","0.56","3.17","3.27","0.2","3.07","2.215","2.25","0.07","2.18","3.875","3.9","0.05","3.85","3.345","3.54","0.39","3.15","4.06","3.79","-0.54","4.33","-0.125","3.875","3.73","-0.29","4.02","2.365","2.475","2.24","2.73","-0.25","0.51","2.49","2.22","3.32","3.37","0.1","3.27","2.575","2.48","-0.19","2.67"
"1","o9n_GMGha","1640212921996","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_Tucker%20Carlson%20forced%20to%20sell%20tie%20collection.png","solarflare","news","oct9_news","0.555","4.23","3.92","-0.62","4.54","2.255","2.51","0.51","2.0","2.4","2.66","0.52","2.14","2.565","2.7","0.27","2.43","2.945","2.75","-0.39","3.14","-0.33","3.67","3.61","-0.12","3.73","2.365","2.53","2.51","2.36","0.29","-0.34","2.22","2.7","4.115","3.72","-0.79","4.51","2.29","2.66","0.74","1.92"
"1","o9n_GPvag","1640212916172","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_21%20thousand%20dead%20people%20registered%20on%20pennsylvania%20voter%20rolls.jpg","solarflare","news","oct9_news","0.41","2.595","2.87","0.55","2.32","3.075","3.15","0.15","3.0","4.485","4.11","-0.75","4.86","3.975","3.21","-1.53","4.74","3.91","3.46","-0.9","4.36","-0.18","3.82","3.84","0.04","3.8","2.385","3.79","2.67","3.52","0.57","-0.54","2.1","4.06","3.365","3.89","1.05","2.84","3.09","3.16","0.14","3.02"
"1","o9n_gt4ok","1640212919986","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_pence%20regrets%20that%20trump%20didnt%20do%20more%20to%20reverse%20gay%20agenda.jpg","solarflare","news","oct9_news","0.415","3.24","3.41","0.34","3.07","2.44","2.69","0.5","2.19","3.495","3.8","0.61","3.19","3.335","3.41","0.15","3.26","3.085","3.1","0.03","3.07","-0.395","3.605","4.0","0.79","3.21","2.39","3.005","2.71","3.08","0.64","0.15","2.07","2.93","3.46","3.57","0.22","3.35","2.81","3.29","0.96","2.33"
"1","o9n_gWIAb","1640212926379","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_SC%20justices%20skeptical%20of%20Texas%20abortion%20law.png","solarflare","news","oct9_news","0.01","2.76","2.95","0.38","2.57","2.865","3.2","0.67","2.53","4.315","4.27","-0.09","4.36","4.18","3.98","-0.4","4.38","3.51","3.25","-0.52","3.77","-0.015","3.985","4.2","0.43","3.77","2.94","3.135","3.24","3.36","0.6","0.45","2.64","2.91","3.025","3.14","0.23","2.91","2.955","3.02","0.13","2.89"
"1","o9n_hB1vS","1640212928070","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_white%20house%20plan%20for%20vaccinating%20kids.png","solarflare","news","oct9_news","0.92","2.44","2.54","0.2","2.34","3.425","3.62","0.39","3.23","4.845","4.92","0.15","4.77","4.735","4.85","0.23","4.62","2.58","2.33","-0.5","2.83","0.21","4.21","4.46","0.5","3.96","3.125","2.86","4.04","2.38","1.83","-0.96","2.21","3.34","2.61","2.69","0.16","2.53","3.09","3.37","0.56","2.81"
"1","o9n_hWYnH","1640212916974","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_bitchute-nasal-swab.png","solarflare","news","oct9_news","0.3","3.11","3.24","0.26","2.98","2.105","2.5","0.79","1.71","4.265","4.04","-0.45","4.49","2.48","2.86","0.76","2.1","3.8","3.72","-0.16","3.88","-0.865","3.135","3.34","0.41","2.93","2.11","3.84","2.54","3.9","0.86","0.12","1.68","3.78","4.23","4.12","-0.22","4.34","2.685","2.88","0.39","2.49"
"1","o9n_IL61Z","1640212919625","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_Norway%20reclassifies%20covid%20as%20common%20flu.png","solarflare","news","oct9_news","0.41","2.945","3.05","0.21","2.84","2.485","2.42","-0.13","2.55","4.41","4.19","-0.44","4.63","3.245","2.92","-0.65","3.57","3.91","3.69","-0.44","4.13","0.065","4.065","3.68","-0.77","4.45","2.625","3.16","2.27","3.39","-0.71","0.46","2.98","2.93","3.5","3.54","0.08","3.46","3.1","2.68","-0.84","3.52"
"1","o9n_JAWEa","1640212924560","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_first%20X%20gender%20passport%20in%20USA.png","solarflare","news","oct9_news","0.745","3.15","3.4","0.5","2.9","2.705","2.69","-0.03","2.72","3.905","4.15","0.49","3.66","4.195","4.03","-0.33","4.36","2.755","2.85","0.19","2.66","-0.255","3.745","4.35","1.21","3.14","2.495","3.165","3.15","2.81","1.31","-0.71","1.84","3.52","3.04","3.24","0.4","2.84","2.825","3.05","0.45","2.6"
"1","o9n_jKlPh","1640212916654","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_Biden%20Buys%20film%20right%20to%20piss%20off%20Trump.png","solarflare","news","oct9_news","0.78","3.135","3.32","0.37","2.95","1.98","2.14","0.32","1.82","3.025","3.0","-0.05","3.05","2.27","2.25","-0.04","2.29","2.72","2.7","-0.04","2.74","-0.61","3.39","3.62","0.46","3.16","2.23","2.72","2.75","2.89","1.04","0.34","1.71","2.55","4.325","4.23","-0.19","4.42","2.395","2.61","0.43","2.18"
"1","o9n_jx5Gs","1640212916771","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_Biden%20renames%20white%20house.png","solarflare","news","oct9_news","0.31","3.345","3.29","-0.11","3.4","2.355","2.73","0.75","1.98","4.08","4.25","0.34","3.91","2.9","3.0","0.2","2.8","3.19","3.09","-0.2","3.29","-0.435","3.565","3.86","0.59","3.27","2.59","3.415","3.07","3.41","0.96","-0.01","2.11","3.42","4.45","4.5","0.1","4.4","3.165","3.46","0.59","2.87"
"1","o9n_jXuPe","1640212925585","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_NYC%20vaccine%20mandate.png","solarflare","news","oct9_news","0.735","2.805","2.67","-0.27","2.94","3.47","3.63","0.32","3.31","4.65","4.75","0.2","4.55","4.455","4.69","0.47","4.22","2.765","2.35","-0.83","3.18","0.13","4.13","4.44","0.62","3.82","3.095","3.38","3.54","2.94","0.89","-0.88","2.65","3.82","2.935","2.69","-0.49","3.18","3.075","3.27","0.39","2.88"
"1","o9n_k2Au4","1640212922237","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_woman%20sues%20samsung%20for%20millions%20after%20cell%20phone%20gets%20stuck.jpg","solarflare","news","oct9_news","0.395","3.03","3.18","0.3","2.88","1.835","1.96","0.25","1.71","2.6","2.73","0.26","2.47","2.48","2.53","0.1","2.43","3.105","3.13","0.05","3.08","-0.67","3.33","3.31","-0.04","3.35","2.09","2.43","1.96","2.33","-0.26","-0.2","2.22","2.53","4.085","4.13","0.09","4.04","2.67","2.69","0.04","2.65"
"1","o9n_K9Wbu","1640212922971","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Biden%20more%20getaways%20than%20Trump.png","solarflare","news","oct9_news","0.29","3.52","3.09","-0.86","3.95","2.5","2.9","0.8","2.1","3.115","3.31","0.39","2.92","3.955","3.6","-0.71","4.31","3.21","2.73","-0.96","3.69","-0.025","3.975","4.1","0.25","3.85","2.44","2.535","3.06","2.56","1.24","0.05","1.82","2.51","2.895","3.41","1.03","2.38","2.305","2.74","0.87","1.87"
"1","o9n_KWUaR","1640212927044","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_trump%20allies%20discuss%20election%20fraud%20claims.png","solarflare","news","oct9_news","0.37","2.865","3.26","0.79","2.47","2.825","3.0","0.35","2.65","4.355","4.62","0.53","4.09","3.915","4.11","0.39","3.72","3.13","3.0","-0.26","3.26","-0.385","3.615","3.79","0.35","3.44","2.605","3.18","2.91","3.43","0.61","0.5","2.3","2.93","3.36","3.53","0.34","3.19","2.985","3.11","0.25","2.86"
"1","o9n_MqOLv","1640212927466","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_US%20ambassador%20backs%20security%20assistance%20to%20Taiwan.png","solarflare","news","oct9_news","0.665","3.07","2.96","-0.22","3.18","2.44","2.48","0.08","2.4","3.81","3.76","-0.1","3.86","3.865","4.11","0.49","3.62","2.835","2.59","-0.49","3.08","-0.26","3.74","3.78","0.08","3.7","2.8","2.68","2.74","2.7","-0.12","0.04","2.86","2.66","2.985","2.83","-0.31","3.14","2.72","2.74","0.04","2.7"
"1","o9n_nJE1f","1640212921799","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_trump%20voter%20wants%20taco%20bell%20shut%20down%20for%20being%20too%20mexican.jpg","solarflare","news","oct9_news","0.71","3.475","3.22","-0.51","3.73","2.465","2.78","0.63","2.15","3.245","3.51","0.53","2.98","3.02","3.33","0.62","2.71","2.79","2.96","0.34","2.62","-0.475","3.525","3.47","-0.11","3.58","2.475","3.165","2.78","3.39","0.61","0.45","2.17","2.94","4.275","4.2","-0.15","4.35","2.935","3.45","1.03","2.42"
"1","o9n_Ox3cJ","1640212922419","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_40%20percent%20refugees%20are%20kids.png","solarflare","news","oct9_news","0.095","2.63","2.72","0.18","2.54","2.355","2.57","0.43","2.14","4.185","4.26","0.15","4.11","4.08","4.09","0.02","4.07","3.405","3.02","-0.77","3.79","-0.235","3.765","3.6","-0.33","3.93","2.25","3.26","2.36","3.06","0.22","-0.4","2.14","3.46","2.69","3.09","0.8","2.29","2.79","2.79","0.0","2.79"
"1","o9n_ptyNi","1640212926621","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_states%20sue%20Biden%20for%20stopping%20border%20wall.png","solarflare","news","oct9_news","0.535","2.645","2.9","0.51","2.39","2.865","2.95","0.17","2.78","4.365","4.12","-0.49","4.61","4.11","3.79","-0.64","4.43","4.035","3.55","-0.97","4.52","0.19","4.19","3.86","-0.66","4.52","2.86","3.37","2.5","3.67","-0.72","0.6","3.22","3.07","2.92","3.1","0.36","2.74","3.16","3.1","-0.12","3.22"
"1","o9n_r7uW6","1640212926742","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_taxpayers%20pay%20for%20Blasios%20trip.png","solarflare","news","oct9_news","0.11","3.505","3.16","-0.69","3.85","2.24","2.52","0.56","1.96","3.855","3.88","0.05","3.83","3.88","3.91","0.06","3.85","3.61","3.34","-0.54","3.88","-0.42","3.58","3.93","0.7","3.23","2.23","3.05","2.5","2.93","0.54","-0.24","1.96","3.17","3.245","3.59","0.69","2.9","2.42","2.59","0.34","2.25"
"1","o9n_rloc5","1640212923466","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Bidens%20fitness%20questioned%20after%20Afghanistan%20issues.png","solarflare","news","oct9_news","0.995","2.66","2.88","0.44","2.44","3.08","2.92","-0.32","3.24","4.415","3.63","-1.57","5.2","4.495","4.04","-0.91","4.95","4.495","4.06","-0.87","4.93","0.055","4.055","3.5","-1.11","4.61","2.55","3.31","2.08","3.4","-0.94","0.18","3.02","3.22","2.62","3.31","1.38","1.93","3.11","2.63","-0.96","3.59"
"1","o9n_rmHvV","1640212920173","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_portland%20to%20allow%20furries%20to%20defecate%20mate%20in%20dog%20parks.jpg","solarflare","news","oct9_news","0.22","3.39","3.36","-0.06","3.42","2.04","2.32","0.56","1.76","3.1","3.23","0.26","2.97","2.465","2.63","0.33","2.3","3.28","3.29","0.02","3.27","-0.555","3.445","3.98","1.07","2.91","2.165","2.88","2.48","2.88","0.63","0.0","1.85","2.88","3.675","3.59","-0.17","3.76","2.575","2.88","0.61","2.27"
"1","o9n_rSeE1","1640212924379","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Dems%20having%20a%20unity%20problem.png","solarflare","news","oct9_news","0.79","3.43","3.48","0.1","3.38","2.6","2.45","-0.3","2.75","3.98","3.79","-0.38","4.17","4.21","4.09","-0.24","4.33","4.29","3.87","-0.84","4.71","0.075","4.075","3.86","-0.43","4.29","2.685","2.76","2.16","3.14","-1.05","0.76","3.21","2.38","3.075","3.32","0.49","2.83","2.79","2.43","-0.72","3.15"
"1","o9n_rw8F9","1640212917444","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_death%20row%20inmate%20demands%20to%20be%20served%20a%20live%20cat%20as%20last%20meal.jpg","solarflare","news","oct9_news","0.315","3.225","3.18","-0.09","3.27","2.025","2.33","0.61","1.72","2.975","3.22","0.49","2.73","2.58","2.78","0.4","2.38","3.185","3.35","0.33","3.02","-0.86","3.14","3.18","0.08","3.1","1.855","3.895","1.94","3.76","0.17","-0.27","1.77","4.03","4.36","4.37","0.02","4.35","2.595","2.39","-0.41","2.8"
"1","o9n_RXkkg","1640212924799","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Germany%20named%20best%20country%20in%20the%20world.png","solarflare","news","oct9_news","0.255","3.5","3.41","-0.18","3.59","2.23","2.39","0.32","2.07","3.465","3.39","-0.15","3.54","3.345","3.67","0.65","3.02","3.245","3.08","-0.33","3.41","-0.3","3.7","3.74","0.08","3.66","2.4","2.735","2.58","2.52","0.36","-0.43","2.22","2.95","3.41","3.06","-0.7","3.76","2.635","2.59","-0.09","2.68"
"1","o9n_s8FMF","1640212920536","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_Republicans%20to%20support%20democratic%20leader%20chosen%20on%20the%20basis%20of%20race.png","solarflare","news","oct9_news","0.955","3.385","3.5","0.23","3.27","2.06","2.32","0.52","1.8","4.36","4.54","0.36","4.18","2.91","3.26","0.7","2.56","2.545","2.78","0.47","2.31","-0.405","3.595","3.86","0.53","3.33","2.285","3.41","2.66","3.22","0.75","-0.38","1.91","3.6","3.765","3.46","-0.61","4.07","2.87","3.14","0.54","2.6"
"1","o9n_snzGv","1640212922911","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Biden%20leaving%20Americans%20stranded%20in%20Afghanistan.png","solarflare","news","oct9_news","0.63","2.77","2.79","0.04","2.75","3.285","2.86","-0.85","3.71","4.735","4.51","-0.45","4.96","4.01","3.6","-0.82","4.42","4.13","3.63","-1.0","4.63","-0.045","3.955","3.6","-0.71","4.31","2.56","4.035","2.79","3.84","0.46","-0.39","2.33","4.23","3.185","3.35","0.33","3.02","3.3","2.98","-0.64","3.62"
"1","o9n_SuWeO","1640212920721","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_russian%20hackers%20insert%20porn%20pages%20into%20married%20mans%20browser%20history.jpg","solarflare","news","oct9_news","0.28","3.21","3.32","0.22","3.1","2.305","2.41","0.21","2.2","3.31","3.03","-0.56","3.59","2.895","2.83","-0.13","2.96","3.22","3.11","-0.22","3.33","-0.22","3.78","3.85","0.14","3.71","2.08","3.08","2.2","3.0","0.24","-0.16","1.96","3.16","3.57","3.39","-0.36","3.75","2.755","2.8","0.09","2.71"
"1","o9n_SX1RP","1640212924976","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_haley%20calls%20for%20cognitive%20test%20for%20older%20politicians.png","solarflare","news","oct9_news","0.185","3.155","3.49","0.67","2.82","2.8","3.27","0.94","2.33","4.215","4.12","-0.19","4.31","3.805","3.61","-0.39","4.0","3.685","2.93","-1.51","4.44","-0.065","3.935","4.0","0.13","3.87","3.03","2.975","2.98","3.49","-0.1","1.03","3.08","2.46","3.285","3.78","0.99","2.79","3.085","3.17","0.17","3.0"
"1","o9n_U556g","1640212922609","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Biden%20appoints%20a%20republican.png","solarflare","news","oct9_news","0.035","3.125","3.16","0.07","3.09","2.5","2.88","0.76","2.12","4.095","4.02","-0.15","4.17","3.525","3.82","0.59","3.23","3.535","3.12","-0.83","3.95","-0.005","3.995","4.22","0.45","3.77","3.15","2.505","3.12","2.68","-0.06","0.35","3.18","2.33","3.345","3.54","0.39","3.15","2.85","2.9","0.1","2.8"
"1","o9n_uupt0","1640212918242","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_Giuliani%20offers%20legal%20services%20in%20exchange%20for%20pardon.png","solarflare","news","oct9_news","0.145","3.37","3.4","0.06","3.34","2.085","2.15","0.13","2.02","3.51","3.52","0.02","3.5","2.82","3.02","0.4","2.62","3.355","3.6","0.49","3.11","-0.54","3.46","3.42","-0.08","3.5","2.07","3.005","2.02","2.92","-0.1","-0.17","2.12","3.09","3.8","3.87","0.14","3.73","2.46","2.35","-0.22","2.57"
"1","o9n_VOfN3","1640212925282","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_Maine%20passes%20right%20to%20food.png","solarflare","news","oct9_news","0.46","2.96","2.77","-0.38","3.15","2.49","2.96","0.94","2.02","4.195","4.43","0.47","3.96","3.775","3.64","-0.27","3.91","3.04","2.45","-1.18","3.63","0.315","4.315","4.3","-0.03","4.33","3.57","2.485","3.83","2.49","0.52","0.01","3.31","2.48","3.18","3.21","0.06","3.15","3.245","3.51","0.53","2.98"
"1","o9n_vQAZv","1640212919805","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_omar%20spits%20on%20the%20tomb%20of%20the%20unknown%20soldier.jpg","solarflare","news","oct9_news","0.53","2.78","2.85","0.14","2.71","2.365","2.26","-0.21","2.47","4.17","4.13","-0.08","4.21","2.89","2.78","-0.22","3.0","4.03","3.88","-0.3","4.18","-0.45","3.55","3.28","-0.54","3.82","2.2","4.075","1.9","4.12","-0.6","0.09","2.5","4.03","3.87","4.18","0.62","3.56","2.92","2.75","-0.34","3.09"
"1","o9n_vtZNd","1640212926319","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_republicans%20voted%20for%20Biden's%20bill.png","solarflare","news","oct9_news","1.165","3.04","3.12","0.16","2.96","2.96","3.03","0.14","2.89","4.255","4.16","-0.19","4.35","4.135","3.83","-0.61","4.44","2.335","2.29","-0.09","2.38","-0.285","3.715","4.05","0.67","3.38","2.91","3.12","3.57","2.59","1.32","-1.06","2.25","3.65","2.885","2.93","0.09","2.84","2.88","3.16","0.56","2.6"
"1","o9n_XGNUq","1640212922057","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_vaccines-vaccinated-spread.png","solarflare","news","oct9_news","0.725","2.83","2.9","0.14","2.76","2.405","2.43","0.05","2.38","4.325","4.17","-0.31","4.48","2.81","2.55","-0.52","3.07","4.225","4.21","-0.03","4.24","-0.835","3.165","2.88","-0.57","3.45","2.095","3.725","2.0","4.07","-0.19","0.69","2.19","3.38","3.87","4.07","0.4","3.67","2.795","2.66","-0.27","2.93"
"1","o9n_xm7xH","1640212920781","https://foodcam20.media.mit.edu/static/entities/oct9_news/f_shocking%20revelation%20and%20divorce%20after%20obama%20admits%20gay.jpg","solarflare","news","oct9_news","0.61","3.465","3.43","-0.07","3.5","1.935","2.2","0.53","1.67","3.2","3.09","-0.22","3.31","2.15","2.11","-0.08","2.19","4.11","3.87","-0.48","4.35","-0.595","3.405","3.5","0.19","3.31","2.27","2.53","2.48","2.93","0.42","0.8","2.06","2.13","4.47","4.81","0.68","4.13","2.49","2.52","0.06","2.46"
"1","o9n_yEPnE","1640212923706","https://foodcam20.media.mit.edu/static/entities/oct9_news/t_centrist%20Democrats%20block%20Biden's%20agenda.png","solarflare","news","oct9_news","0.345","3.17","3.12","-0.1","3.22","3.025","3.03","0.01","3.02","4.15","3.95","-0.4","4.35","4.205","4.08","-0.25","4.33","3.845","3.69","-0.31","4.0","0.145","4.145","4.07","-0.15","4.22","3.085","2.955","2.56","3.46","-1.05","1.01","3.61","2.45","2.915","3.14","0.45","2.69","2.92","2.88","-0.08","2.96"
